"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"1110390","Movie","Teri Baaton Mein Aisa Uljha Jiya","Aradhana Sah, Amit Joshi","Shahid Kapoor, Kriti Sanon, Dimple Kapadia, Ashish Verma, Anubha Fatehpuria","India","2024-02-09","2024","5.514","","Romance, Comedy, Science Fiction","hi","A robotics engineer searching for his perfect partner finds himself falling in love with a human-like android.","13.709","35","5.514","0","0"
"899718","Movie","Yodha","Sagar Ambre, Pushkar Ojha","Sidharth Malhotra, Raashii Khanna, Disha Patani, Sunny Hinduja, Tanuj Virwani","India, United States of America","2024-03-15","2024","6.5","","Action, Adventure, Thriller","hi","When terrorists hijack a passenger plane, a suspended commando onboard under mysterious circumstances, crafts a plan to thwart the hijackers and safeguard the passengers' survival despite the engine's failure.","13.628","20","6.5","0","0"
"1129608","Movie","The Greatest of All Time","Venkat Prabhu","Vijay, Prashanth, Prabhu Deva, Mohan, Ajmal Ameer","India","2024-09-05","2024","4.9","","Action, Drama, Thriller","ta","A once decorated member of the Special Anti-Terrorism Squad (SATS) is called back into action by his former colleagues for an important mission, setting him on a dangerous collision course with his own past.","13.457","22","4.9","36000000","47700000"
"1171099","Movie","Maharaj","Siddharth P. Malhotra","Junaid Khan, Jaideep Ahlawat, Sharvari Wagh, Shalini Pandey, Jay Upadhyay","India","2024-06-21","2024","6.8","","Drama, History","hi","Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior.","13.3","43","6.8","0","0"
"869760","Movie","Hanu-Man","Prasanth Varma","Teja Sajja, Vinay Rai, Amritha Aiyer, Varalaxmi Sarathkumar, Vennela Kishore","India","2024-01-11","2024","6.4","","Fantasy, Action, Comedy, Science Fiction","te","In a small village, Hanumanthu, a petty thief, finds a mysterious gem, that gives him god-like powers. Will he succeed in keeping these powers from falling into the wrong hands and save his village?","13.027","25","6.4","4809416","0"
"861451","Movie","Martin","A. P. Arjun","Dhruva Sarja, Vaibhavi Shandilya, Anveshi Jain, Giorgia Andriani, Chikkanna","India","2024-10-11","2024","2.2","","Action, Drama, Thriller","kn","Martin revolves around Lt. Brigadier Arjun Saxena, whose journey takes him from Pakistan to India to discover his real identity and fight against black market dealers, who are involved with terrorists to orchestrate massive attacks in the country.","12.974","6","2.2","0","0"
"1187058","Movie","Munjya","Aditya Sarpotdar","Abhay Verma, Sharvari Wagh, Ayush Ulagadde, Mona Singh, Suhas Joshi","India","2024-06-07","2024","6.0","","Comedy, Horror","hi","A young man's visit to his native village unveils a family secret and a vengeful spirit, Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches leading to a humorously chaotic and terrifying adventure.","12.592","21","6.0","3592556","15743613"
"1146577","Movie","CTRL","Vikramaditya Motwane","Ananya Panday, Vihaan Samat, Devika Vatsa, Kamakshi Bhat, Suchita Trivedi","India","2024-10-04","2024","5.8","","Thriller, Drama","hi","Nella and Joe are the perfect influencer couple. But when he cheats on her, she turns to an AI app to erase him from her life — until it takes control.","11.47","43","5.8","0","0"
"1166133","Movie","Bramayugam","Rahul Sadasivan","Arjun Ashokan, Mammootty, Sidharth Bharathan, Manikanda Achari, Amalda Liz","India","2024-02-15","2024","7.478","","Horror, Thriller, Drama","ml","Thevan, a folk singer of the Paanan caste, has a fateful encounter when escaping slavery, leading to discover an ancient tradition altering his destiny.","11.406","46","7.478","3300000","10000000"
"1201012","Movie","Dhoom Dhaam","Rishab Seth","Yami Gautam, Pratik Gandhi, Eijaz Khan, Mukul Chadda, Pavitra Sarkar","India","2025-02-13","2025","6.4","","Comedy, Romance, Action","hi","On their wedding night, an oddball couple is thrust into a chaotic chase, dodging goons and cops in a frenzied hunt for the mysterious ""Charlie.""","712.026","20","6.4","0","0"
"1196943","Movie","Chhaava","Laxman Utekar","Vicky Kaushal, Rashmika Mandanna, Akshaye Khanna, Ashutosh Rana, Divya Dutta","India","2025-02-14","2025","7.8","","History, Action, Drama","hi","Shivaji's death sparks the Maratha-Mughal conflict. His son Sambhaji leads resistance against Aurangzeb's forces. Amid battles and intrigue, both sides face challenges in a struggle for power.","112.224","10","7.8","15000000","28000000"
"949716","Movie","Vidaamuyarchi","Magizh Thirumeni","Ajith Kumar, Arjun Sarja, Regina Cassandra, Trisha Krishnan, Aarav Kizar","India","2025-02-06","2025","6.0","","Action, Thriller","ta","Arjun and Kayal, an Indian couple living in Azerbaijan, set out on a journey to visit her parents. Their peaceful trip takes a terrifying turn when Kayal mysteriously disappears. With time running out, Arjun must navigate a web of danger and deception, facing a ruthless gang determined to keep him from uncovering the truth.","35.423","11","6.0","34303950","0"
"1202235","Movie","Daaku Maharaaj","Bobby Kolli","Nandamuri Balakrishna, Bobby Deol, Pragya Jaiswal, Shraddha Srinath, Vedha Agarwal","India","2025-01-12","2025","5.4","","Action","te","A man defends a beleaguered rural community from murderous drug-traffickers.","32.907","5","5.4","0","0"
"1370264","Movie","Crazxy","Girish Kohli","Sohum Shah","India","2025-02-28","2025","5.0","","Thriller","hi","Abhimanyu Sood. Good surgeon. Bad father. Questionable human being. He is having the worst day of his life.","26.866","1","5.0","0","0"
"1195430","Movie","Deva","Rosshan Andrrews","Shahid Kapoor, Pooja Hegde, Pavail Gulati, Pravessh Rana, Girish Kulkarni","India","2025-01-31","2025","8.0","","Action, Thriller, Mystery, Crime","hi","Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.","23.524","3","8.0","9895000","0"
"1226572","Movie","Superboys of Malegaon","Reema Kagti","Adarsh Gourav, Shashank Arora, Vineet Kumar Singh, Anuj Singh Duhan, Saqib Ayub","India","2025-02-28","2025","8.3","","Comedy, Drama","hi","The residents of Malegaon look to Bollywood cinema for a much-needed escape from daily drudgery. Amateur filmmaker Nasir Shaikh gets inspired to make a film for the people of Malegaon, by the people of Malegaon. He bands together his ragtag group of friends to bring his vision to life, thereby bringing a fresh lease of life into the town.","23.446","3","8.3","0","0"
"1290218","Movie","Painkili","Sreejith Babu","Sajin Gopu, Anaswara Rajan, Jisma Jiji, Roshan Shanavas, Chandu Salimkumar","India","2025-02-14","2025","6.5","","Romance, Comedy","ml","Tale of Suku, who fakes insanity to escape the law. While faking insanity, he falls in love.","20.041","3","6.5","0","0"
"1103756","Movie","Aghathiyaa","Pa. Vijay","Jiiva, Raashii Khanna, Arjun Sarja, Edward Sonnenblick, Matilda","India","2025-02-28","2025","0.0","","Fantasy, Horror, Adventure","ta","Things go awry when a haunted mansion is opened as a tourist attraction by Aghathiyan leading to the unraveling of the dark history behind the mansion's previous occupant.","18.416","0","0.0","0","0"
"1222049","Movie","Nilavuku En Mel Ennadi Kobam","Dhanush","Pavish Narayanan, Anikha Surendran, Priya Prakash Varrier, Mathew Thomas, Venkatesh Menon","India","2025-02-21","2025","6.0","","Romance, Drama","ta","All set to move on with his life, a boy unexpectedly reconnects with his past love.","18.372","1","6.0","1732368","0"
"1205021","Movie","Rambo","Rohit Dhawan","Tiger Shroff","India","2025-01-01","2025","0.0","","Action","hi","Upcoming Rambo remake starring Tiger Shroff","18.367","0","0.0","0","0"
"811944","Movie","Game Changer","Shankar","Ram Charan, Anjali, Kiara Advani, S. J. Suryah, Srikanth","India","2025-01-09","2025","4.5","","Action, Drama","te","Ram, a newly appointed district collector, takes charge in a city in Andhra Pradesh and immediately confronts the deeply entrenched corruption and inefficiency plaguing the government. Determined to bring reforms, he initiates sweeping changes, sparking a fierce conflict with a powerful state Minister.","17.44","10","4.5","41000000","8800000"
